Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Win,Loss,Earned run Average,Games played,Games Started,Complete Game
C Klein,RF,1753,6486,1168,2076,398,74,300,1201,601,521,79,158,152,3.18,399,393,129
T Salmon,RF,1672,5934,986,1674,339,24,299,1016,970,1360,48,150,98,3.63,331,331,14
N Arenado,3B,1387,5281,806,1524,339,31,299,972,465,853,23,245,254,2.97,578,516,422
M Reynolds,3B,1688,5432,794,1283,253,14,298,871,707,1927,64,108,97,4.02,303,301,3
R Henderson,LF,3081,10961,2295,3055,510,66,297,1115,2190,1694,1406,147,143,4.4,457,418,12
C Davis,1B,1417,4978,707,1160,228,5,295,780,555,1852,19,135,131,3.78,563,328,85
R Ventura,3B,2079,7064,1006,1885,338,14,294,1182,1075,1179,24,82,57,2.55,210,210,4
M Ordonez,RF,1848,6978,1076,2156,426,21,294,1236,651,852,94,196,195,3.3,541,488,140
K Hrbek,1B,1747,6192,903,1749,312,18,293,1086,838,798,37,163,143,3.84,472,407,43
F Freeman,1B,1728,6394,1088,1908,414,27,292,1041,863,1417,66,143,122,2.52,1070,52,20
P Burrell,LF,1640,5503,767,1393,299,16,292,976,932,1564,7,116,91,3.24,376,269,22
R Staub,OF,2951,9720,1189,2716,499,47,292,1466,1255,888,47,134,84,3.19,302,262,74
J Wynn,CF,1920,6653,1105,1665,285,39,291,964,1224,1427,225,174,150,3.49,451,410,127
C Biggio,2B,2850,10876,1844,3060,668,55,291,1175,1160,1753,414,155,134,3.73,398,387,53
B Johnson,LF,1863,6920,1239,2051,396,95,288,1283,1075,851,96,86,119,3.76,415,264,21
H Sauer,LF,1399,4796,709,1278,200,19,288,876,561,714,11,201,177,3.08,536,407,197
B Abreu,RF,2425,8480,1453,2470,574,59,288,1363,1476,1840,400,143,159,4.39,420,417,20
D Ennis,LF,1903,7254,985,2063,358,69,288,1284,597,719,45,136,116,3.87,382,364,37
B Williams,CF,2076,7869,1366,2336,449,55,287,1257,1069,1212,147,138,121,4.28,372,339,25
G Anderson,LF,2228,8640,1084,2529,522,36,287,1365,429,1224,80,141,155,3.77,625,322,68
A McCutchen,RF,1898,7043,1119,1950,393,49,287,1003,988,1543,205,121,101,4.06,319,307,4
B Bonilla,3B,2113,7213,1084,2010,408,61,287,1173,912,1204,45,86,75,3.67,446,178,11
B Giles,RF,1847,6527,1121,1897,411,55,287,1078,1183,835,109,136,113,3.63,453,285,99
M Kemp,CF,1750,6365,950,1808,338,37,287,1031,518,1641,184,215,174,3.45,630,447,109
C Pena,1B,1493,4949,745,1146,231,26,286,818,817,1577,29,191,204,2.97,413,396,377
F Thomas,LF,1766,6285,792,1671,262,31,286,962,484,894,15,148,137,4.28,419,383,16
B Harper,DH,1382,4927,913,1379,298,23,285,817,879,1276,122,150,125,4.4,355,351,10
W Clark,1B,1976,7173,1186,2176,440,47,284,1205,937,1190,67,197,196,3.74,440,406,367
R Zimmerman,3B,1799,6654,963,1846,417,22,284,1061,646,1384,43,131,124,4.27,401,327,25
E Karros,1B,1755,6441,797,1724,324,11,284,1027,552,1167,59,185,139,2.69,378,327,289
M Machado,3B,1449,5688,839,1601,312,18,283,855,514,1073,85,74,94,4.37,703,195,3
A Rizzo,1B,1539,5586,840,1479,313,22,283,891,722,1048,72,123,122,3.86,664,269,40
J Martinez,LF,1413,5301,792,1525,340,21,283,901,519,1431,25,186,117,3.51,470,389,34
A Jones,CF,1823,7009,963,1939,336,29,282,945,340,1395,97,128,115,2.92,406,294,83
K Boyer,3B,2034,7455,1104,2143,318,68,282,1141,713,1017,105,177,135,3.39,517,328,124
E Davis,CF,1626,5321,938,1430,239,26,282,934,740,1398,349,89,87,3.75,315,289,2
B McCann,C,1755,6067,742,1590,294,5,282,1018,640,1054,25,194,174,3.76,561,464,98
R Sandberg,2B,2164,8385,1318,2386,403,76,282,1061,761,1260,344,131,105,3.43,488,245,79
P O'Neill,RF,2053,7318,1041,2105,451,21,281,1269,892,1166,141,146,140,4.16,394,373,42
T Kluszewski,1B,1718,5929,848,1766,290,29,279,1028,492,365,20,125,126,3.18,361,318,97
