Player name,position,Games,At-bat,Runs,Hits,Double (2B),third baseman,home run,run batted in,a walk,Strikeouts,stolen base ,Win,Loss,Earned run Average,Games played,Games Started,Complete Game
K Davis,LF,980,3394,506,820,164,9,221,590,328,1017,18,209,148,2.38,502,361,249
T Batista,3B,1309,4568,625,1146,226,17,221,718,287,790,47,117,116,3.83,341,299,72
G Jenkins,LF,1349,4700,688,1293,303,22,221,733,418,1186,32,76,83,3.92,268,229,1
T Oliva,RF,1676,6301,870,1917,329,48,220,947,448,645,86,135,117,3.9,526,287,83
J Pepitone,1B,1397,5097,606,1315,158,35,219,721,302,526,41,132,136,3.96,384,329,42
J Bottomley,1B,1991,7471,1177,2313,465,151,219,1422,664,591,58,111,103,3.89,321,318,24
A Oliver,CF,2368,9049,1189,2743,529,77,219,1326,535,756,84,132,174,3.09,399,313,227
B Horner,3B,1020,3777,560,1047,169,8,218,685,369,512,14,141,119,3.45,987,74,18
S Choo,RF,1652,6087,961,1671,339,29,218,782,868,1579,157,195,150,3.1,488,333,197
M Trumbo,1B,1097,4085,532,1018,182,11,218,629,299,1097,23,146,149,3.6,574,327,73
T Frazier,3B,1244,4392,604,1059,212,15,218,640,438,1085,73,218,185,4.36,541,473,226
B Santiago,C,1978,6951,755,1830,323,41,217,920,430,1270,91,266,251,3.15,692,554,290
M Sweeney,1B,1454,5188,759,1540,325,5,215,909,522,613,53,154,165,3.37,346,328,295
R Fairly,1B,2442,7184,931,1913,307,33,215,1044,1052,877,35,91,77,3.55,248,239,6
P Guerrero,1B,1536,5392,730,1618,267,29,215,898,609,862,97,102,92,3.96,355,263,12
C Lemon,CF,1988,6868,973,1875,396,61,215,884,749,1024,58,134,116,3.8,342,309,63
J Conine,1B,2024,6957,870,1982,385,36,214,1071,671,1168,54,247,218,3.29,756,443,243
J Guillen,RF,1650,5888,748,1591,305,25,214,887,321,1103,31,94,96,3.78,250,250,18
M Betts,RF,1117,4473,873,1309,308,33,214,650,522,696,158,124,142,4.41,685,332,45
T Hafner,DH,1183,4058,619,1107,250,13,213,731,598,976,11,144,106,3.7,312,302,103
A Pafko,CF,1852,6292,844,1796,264,62,213,976,561,477,38,95,89,4.45,294,273,4
K Morales,DH,1363,4856,584,1289,257,7,213,740,417,978,6,134,128,3.73,484,333,91
B Skowron,1B,1658,5547,681,1566,243,53,211,888,383,870,16,196,184,3.51,489,370,225
B Phillips,2B,1902,7378,1005,2029,368,35,211,951,420,1092,209,161,165,4.24,528,355,135
K McReynolds,LF,1502,5423,727,1439,284,35,211,807,522,707,93,127,87,3.85,277,275,62
L Wagner,LF,1352,4426,636,1202,150,15,211,669,435,656,54,101,91,4.15,411,202,10
W Post,RF,1205,4007,594,1064,194,28,210,699,331,813,19,121,106,3.36,466,272,59
R Petrocelli,SS,1553,5390,653,1352,237,22,210,773,661,926,10,109,94,3.48,482,208,42
R Alomar,2B,2379,9073,1508,2724,504,80,210,1134,1032,1140,474,117,160,4.08,582,268,73
B Anderson,RF,1834,6499,1062,1661,338,67,210,761,960,1190,315,90,105,3.58,357,249,66
P Nevin,3B,1217,4188,584,1131,209,6,208,743,449,1019,18,104,103,3.64,403,268,56
J Thompson,1B,1418,4802,640,1253,204,12,208,782,816,862,8,122,129,3.54,414,279,74
D White,CF,1941,7344,1125,1934,378,71,208,846,541,1526,346,82,60,3.85,351,222,4
C Blackmon,RF,1408,5373,884,1597,288,58,208,712,403,1004,138,114,118,2.91,944,37,4
K Puckett,CF,1783,7244,1071,2304,414,57,207,1085,450,965,134,92,111,3.81,639,171,28
R Zisk,RF,1453,5144,681,1477,245,26,207,792,533,910,8,119,121,3.44,346,286,131
G Bell,CF,1741,6478,865,1823,311,66,206,942,470,636,30,131,112,4.32,344,306,34
B Dozier,2B,1144,4316,664,1055,231,21,192,561,488,973,105,98,110,4.12,309,285,21
R Martin,C,1693,5701,803,1416,255,9,191,771,792,1211,101,104,105,4.09,325,288,13
H McRae,DH,2084,7218,940,2091,484,66,191,1097,648,779,109,74,69,3.99,241,237,0
C Young,CF,1465,4710,668,1109,288,24,191,590,520,1192,142,141,133,3.47,303,292,264
G Davis,1B,1015,3719,510,965,177,13,190,603,370,613,28,191,181,3.27,640,376,192
W Jones,3B,1691,5826,786,1502,252,33,190,812,755,541,40,105,103,3.24,704,93,24
A Gordon,LF,1753,6391,867,1643,357,26,190,749,684,1535,113,130,123,2.68,330,266,180
E Lombardi,C,1852,5855,601,1792,277,27,190,990,430,262,8,129,112,3.44,452,279,64
C Keller,LF,1170,3790,725,1085,166,72,189,760,784,499,45,150,83,3.02,317,230,154
P Wilson,CF,1108,4003,573,1055,221,16,189,668,350,1085,124,88,105,3.71,589,154,33
J Snow,1B,1716,5641,798,1509,293,19,189,877,760,1142,20,126,110,3.34,377,268,102
N Markakis,RF,2154,8302,1119,2388,514,22,189,1046,891,1230,66,223,186,3.8,582,433,181
B Bailey,3B,1931,6082,772,1564,234,43,189,773,852,1126,85,139,113,2.76,331,272,152
J Hardy,SS,1561,5805,718,1488,291,14,188,688,411,960,8,119,150,3.1,367,288,157
D Porter,C,1782,5539,765,1369,237,48,188,826,905,1025,39,101,118,4.24,711,161,37
